id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve,opens_after,opens_when
I201,2,0:00,"A File Of 31,400 Patient Rows Is Public","Since 06:40 a paste site has carried a file headed carilion_swva_patients_2026: names, dates of birth, addresses, the last four of a Social Security number, a clinic code. Nobody has established whether it is genuine, whether it is the whole of what was taken, or whether it is even from this breach. Every other decision this phase is sized off that answer, and 31,400 people cannot find out whether they are in it. [UPDATE 0:21] An exposure assessment of the posted file has been commissioned; no determination of the file's authenticity or of how many records it holds has been published, and the 31,400 people named in it have [UPDATE 0:21] A staffed records-access line is open at the library branches and public terminals so a resident can ask whether their record is in the posted file; whether the file is genuine and how many records it [UPDATE 0:29] No response before the 0:25 deadline; escalated.",Region-wide,5,Carilion Clinic Privacy Office;CISA Mis- and Disinformation Team;VA Attorney General Consumer Protection;County Broadband & Library Network;VDH Risk Communication,25,escalated,150,,
I202,2,0:00,A Synthetic Video Of The Liaison Is Circulating,"A clip of the Governor's SW Virginia Liaison saying the outage was 'an internal decision to protect data' is on every regional feed. She never said it. It is good, and two county officials have already shared it believing it. Until someone establishes that it is synthetic and says so in a form a county can cite, every official statement this phase is read against it. [UPDATE 0:18] A community listening session on the clip is being stood up with the faith network and the division; no determination that the video is synthetic has been issued, so county officials still have nothin [UPDATE 0:29] No response before the 0:20 deadline; escalated.",Region-wide,4,CISA Mis- and Disinformation Team;Governor's SW Virginia Liaison;Platform Trust and Safety Liaison;SW Virginia School Division Communications;Virginia Tech University Relations,20,escalated,125,,
I203,2,0:05,"A Researcher Is Named, Doxxed And Threatened",Hundreds of accounts name a Virginia Tech researcher as the person who 'let it in'. Her home address is posted. The sheriff's office has taken two calls about her this morning. What the university and the police say next is the only part of this phase nobody gets to revise later. [UPDATE 0:11] A protective response for the named researcher has been initiated and the accusation itself has not been repeated in any public statement; no public statement has been published and no non-social-medi [UPDATE 0:29] No response before the 0:25 deadline; escalated.,Blacksburg,4,SW Virginia Sheriff's Public Information;Virginia Tech University Relations;Platform Trust and Safety Liaison,20,escalated,125,,
I204,2,0:05,Fraud Sites Are Collecting 'Breach Compensation' Details,"At least four sites are collecting exactly the fields the posted file contains, in exchange for a promised payment. They are reaching households through the library terminals — the only internet in three hollows — and the first wire transfers have already gone out. [UPDATE 0:29] A takedown request has been filed against the fraudulent 'breach compensation' sites and a credit-freeze and fraud clinic is claimed at the library terminals; no site is confirmed down, no affected te [UPDATE 0:33] No response before the 0:30 deadline; escalated.",Coalfield counties,4,VA Attorney General Consumer Protection;County Broadband & Library Network;Platform Trust and Safety Liaison,25,escalated,125,,
I205,2,0:05,"Accounts Impersonating The Sheriff, The District And The Schools","Three accounts are posting instructions under the names of the health district, the sheriff's office and the school division. The instructions contradict each other and one of them tells people to bring their records to a building that is closed. Nothing distinguishes them from the real accounts except that the real ones have said less. [UPDATE 0:18] Takedown requests against the three impersonating accounts have been initiated; no confirmation that the accounts are down and no public list distinguishing real accounts from impersonators has been p [UPDATE 0:33] No response before the 0:30 deadline; escalated.",Region-wide,3,SW Virginia Sheriff's Public Information;SW Virginia School Division Communications;Platform Trust and Safety Liaison;VA Attorney General Consumer Protection,25,escalated,100,,
I206,2,0:10,Yesterday's Sentence: 'No Patient Data Was Affected',"The Liaison said it, on the record, before anything had been verified. It is now the most-quoted sentence in the region and the thing every correction has to climb over. Correcting it means conceding it in public; not correcting it means the region's next true statement is read as the same kind of thing. [UPDATE 0:14] The region's newsroom has moved to retract the earlier report it carried, but the sentence 'No patient data was affected' still stands uncorrected in the form that ends this: naming what was said befo [UPDATE 1:09] Not resolved by the 0:40 deadline; escalated.",Richmond / Region-wide,4,Governor's SW Virginia Liaison;VDH Risk Communication;Regional News Consortium;Appalachian Faith & Community Network,30,escalated,125,,
I207,2,0:10,Patients Are Staying Away From Care,"The clinics that reopened are seeing a third fewer patients than a normal Wednesday, and the ones not coming are the dialysis, MAT and prenatal schedules — the people with the least slack. What they have read is that the clinics leak. [UPDATE 1:09] The expanded health message is bought but not yet shown to have changed the floor: clinic counts are still about a third below a normal Wednesday and the dialysis, MAT and prenatal schedules are the ones still missing. A general 'it is safe to come' line does not speak to the fear that the clinics leak, so it is the reassurance that has already failed to bring people back; until a message says plainly, in household words, what is safe and what is not, those schedules keep shrinking.",Coalfield counties,4,VDH Risk Communication;Carilion Clinic Privacy Office;Appalachian Faith & Community Network,30,in_progress,125,,
I208,2,0:10,The Newsroom Has The Breach Story And No Confirmation,"The region's newsroom can run the file story now with what it has, hold it while it verifies, or publish what it cannot confirm. Three worse versions are already circulating. Whatever it does becomes the version the rest of the state picks up. [UPDATE 0:29] A newsroom verification desk is being paid for and split with another consortium member, but no claim has been checked, nothing unconfirmed has been published, and the three worse circulating versions [UPDATE 0:38] No response before the 0:35 deadline; escalated.",Roanoke / Region-wide,3,Regional News Consortium;CISA Mis- and Disinformation Team;Carilion Clinic Privacy Office,25,escalated,100,,
I209,2,0:15,Fifteen Thousand Families Have Read That School Is Closed,"A fabricated notice under the school division's letterhead says schools are closed tomorrow for 'data security'. It is not true. Half the division's families have seen it, buses are being asked about, and the division's own channel has not said anything since Monday. [UPDATE 0:21] Fifteen thousand families still hold a fabricated closure notice as the last word from the division; a notification is planned but no verified message about closures, clinics or records has reached th [UPDATE 0:21] An emergency broadcast activation for the school-closure correction is claimed by the sheriff's public information role; there is no record of any message going out, and the division's families still [UPDATE 1:09] Fifteen thousand families still hold the fabricated closure notice as the last word from the division: a correction is promised on the division's own website and the emergency broadcast activation claimed for it has no record of going out, so nothing has landed on a channel that reaches the hollows where the fake arrived. Until one message carrying what is true about closures, clinics and records reaches those phones, the fabricated notice stands. [UPDATE 1:09] Public terminals carry guidance on what a genuine division notice looks like, but no verified message about the closures, the clinics or the records has gone out on any channel the fabrication reached; the 15,000 families still hold the fake closure notice as the division's last word, and without a verified correction reaching phones and the hollows the buses and clinics keep answering to a closure that is not happening.",Region-wide,3,SW Virginia School Division Communications;Appalachian Faith & Community Network;SW Virginia Sheriff's Public Information;County Broadband & Library Network,25,in_progress,100,,
I210,2,0:15,The University Holds The Facts And Nobody Believes It,"Virginia Tech can say what actually happened on its network — the shared research link, the cluster, the timeline. It is also the institution being blamed by name, which means its account will be read as a defence. Whether it publishes, and who publishes with it, decides whether the region ever gets a shared version of yesterday. [UPDATE 0:29] Nothing has been published: the university's account of what happened on its network is not public, and no second institution the region trusts has put its name to it, so the region still has no share [UPDATE 0:29] The university's account has been pushed out and shared, but no second institution the region believes has corroborated it, so the region still has no shared version of yesterday. [UPDATE 1:09] The university's account is public but still stands alone: no second institution the region believes has put its name to it, so the region still has no shared version of yesterday, and any institution that speaks next does so into that vacuum.",Blacksburg / Region-wide,3,Virginia Tech University Relations;Governor's SW Virginia Liaison;Regional News Consortium,30,in_progress,100,,
I211,2,0:25,The Notification Went Out; The Not-Affected Majority Just Got Scared,"The file is verified and the letters are reaching 31,400 patients. But the notification — and the coverage it triggers — reaches far beyond them. The three clinics' catchment is fifteen thousand families, and every parent now thinks their child's records are in it. The question is what the clinics and the health office say to the people who are not in the file but who are the ones still coming to care, and how the eight in ten whose data is safe are told.",Region-wide,4,VDH Risk Communication;Carilion Clinic Privacy Office;Appalachian Faith & Community Network;County Broadband & Library Network,25,hidden,125,I201,resolved
I212,2,0:25,The File Is Confirmed; The Letters Were Never Sent,"The file is verified — genuine, 31,400 records, exactly the fields claimed. And then nothing was sent. The notification was the one thing only the clinics could do and it did not happen; the people in the file are hearing about it from a paste site and a rumor. The records line and the letter are still unmade, and the scammers are already using the file's own fields to call households.",Region-wide,5,Carilion Clinic Privacy Office;VA Attorney General Consumer Protection;Appalachian Faith & Community Network;County Broadband & Library Network,25,hidden,150,I201,partially_resolved
I213,2,0:29,"A Second File, With Billing And Insurance IDs, Lands On The Same Paste Site","The first file was verified — and verified honestly. But it was only the first cut, and the assessment stopped at confirmed instead of how far it went. A second file with billing and insurance IDs for the same 31,400 plus 15,600 more is now on the site. The notification being written for 31,400 is wrong by half, and the fraud sites have richer data than the clinics have confirmed. [UPDATE 1:09] The second file of billing and insurance IDs sits on the same paste site with nothing bounding how far the exposure runs: the notification still in draft is written for 31,400 when the two files together describe 47,000, and no ceiling or third-file check has been produced. Aimed work on that ceiling and on a reworked message covering the extra fields, including the fraud guidance the richer data now demands, is what moves this; without it the 15,600 extra people stay unnamed and the scam sites keep holding fields the health system has not confirmed.",Region-wide,5,Carilion Clinic Privacy Office;CISA Mis- and Disinformation Team;VA Attorney General Consumer Protection,25,in_progress,150,I201,escalated
