id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,1,0:00,Massive Data Exfiltration Detected,Virginia Tech SOC alerts show 47GB of data transferred to unknown IP addresses overnight from Engineering research servers. Traffic pattern suggests ongoing exfiltration. Affected servers may contain ITAR-controlled defense research.,Blacksburg,5,Virginia Tech Crisis Response;CISA Regional Coordinator,10,open,150
2,1,0:00,Regional Telecom Backbone Compromised,Shentel monitoring detects attack signatures traversing regional fiber backbone. Malware spreading to connected organizations including hospitals and utilities. Source traced to VT network segment.,Blacksburg,4,Shentel Communications;Virginia Tech Crisis Response,10,open,100
3,1,0:00,Hospital Electronic Records Inaccessible,"Carilion nurses arriving for morning shift cannot access patient records across all facilities. System shows ""connection timeout"" errors. 12 dialysis patients need treatment today but protocols cannot be verified.",Roanoke,5,Carilion Clinic System;United Way SW Virginia,10,open,150
4,1,0:00,Power Grid Control Systems Under Attack,"AEP security logs show 2,400 unauthorized query attempts against SCADA systems. Attack is probing for vulnerabilities in grid control. Operators must decide whether to isolate systems (causing outages) or risk exploitation.",Roanoke,5,AEP Appalachian Power;SW Virginia EMA,10,open,150
5,1,0:00,Highway Systems Failing Across Region,"I-81 electronic signs showing garbage characters, traffic cameras offline, signal timing systems unresponsive. VDOT and Sheriff receiving reports of confusion at multiple intersections.",Wytheville,4,VDOT SW Region;SW Virginia Sheriff's Coalition,10,open,100
6,1,0:00,911 Emergency System Degraded,Regional 911 dispatchers report 3-5 second lag between receiving calls and system response. Two callers hung up before connection. Ambulance routing system also showing delays.,Wytheville,4,SW Virginia EMA;SW Virginia Sheriff's Coalition,10,open,100
7,1,0:00,County Government Systems Down,"Montgomery County staff find email down, permit system offline, phone system intermittent. Public calling to complain. County cannot process emergency permits or coordinate with other agencies.",Blacksburg,3,Montgomery County Government;Governor's SW Virginia Liaison,10,open,75
8,1,0:00,Environmental Monitoring Offline,12 DEQ remote sensors monitoring coal ash ponds and water quality in mining areas stopped transmitting. Cannot verify environmental compliance. Coal ash pond failure would be catastrophic.,Wise,4,VA DEQ SW Regional Office;Food City / Regional Supply Chain,10,open,100
9,1,0:00,Media Demands Answers as Rumors Spread,"WDBJ7 received anonymous tip about ""major cyberattack."" Social media rumors claim hospitals are closed. Reporter requesting official comment for morning broadcast. Contradictory information circulating.",Roanoke,3,WDBJ7 News;Governor's SW Virginia Liaison,10,open,75
10,1,0:00,Vulnerable Residents Flooding Hotlines,"United Way 211 receiving 5x normal call volume. Elderly church members calling pastors panicking about ""hacked medical records."" Faith networks asking for guidance to share with congregations.",Roanoke,3,United Way SW Virginia;Appalachian Faith & Community Network,10,open,75
