team,role,sector,budget,trust,score,responsibility
Acadia,Carilion Clinic Privacy Office,Healthcare Privacy,"$13,750",4,108.75,"Breach notification and what a patient is owed: who was in the file that surfaced, what they are told, and when — before a stranger tells them first"
Banff,Regional News Consortium,Media,"$27,500",4,97.5,"The region's newsroom: what gets published, what gets held, and whether a correction ever catches the story it corrects"
Denali,VA Attorney General Consumer Protection,State Legal,-$10K,5,37.5,"Identity theft and fraud in the wake of a breach: the credit freezes, the scam wave, and the enforcement letter nobody wants to be first to send"
Everglades,SW Virginia School Division Communications,Education,-$7K,4,97.5,"Fifteen thousand families with children in the affected clinics' catchment, and a deepfake about a school closure already on their phones"
Glacier,Governor's SW Virginia Liaison,State Executive,$55K,5,105,"Speak for the region, own what it said before, and hold the only budget that can underwrite another team's action"
Katmai,CISA Mis- and Disinformation Team,Federal Cyber,$35K,5,82.5,"What is authentic and what is synthetic, said in a form a county can act on — and the limit of what a federal agency may say about a citizen's speech"
Olympic,Appalachian Faith & Community Network,Community/Faith,"$32,500",5,67.5,"The channel that still works when nobody believes the official one: congregations, volunteer fire departments, the people who knock on doors"
Redwood,Virginia Tech University Relations,Academic,$5K,5,105,"The university is being blamed for the attack by name; its researchers are being doxxed, and its own account is the one nobody will believe"
Shenandoah,SW Virginia Sheriff's Public Information,Law Enforcement,$5K,5,135,"What law enforcement says to a frightened public, and what it does about a threat made against a named researcher"
Teton,VDH Risk Communication,Public Health,"$57,500",5,37.5,Keep people coming to care they still need while a rumor says the clinics leak: the health message that has to survive being disbelieved
Yellowstone,County Broadband & Library Network,Digital Access,$0,6,82.5,"The public terminals and the only broadband in three hollows — where people without a phone read the news, and where a scam page catches them"
Zion,Platform Trust and Safety Liaison,Platform,$45K,6,112.5,"The company's regional contact: what gets labelled, what gets taken down, how long it takes, and what the company will not do"
