id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,5,0:00,Rural Dialysis Crisis,"340 patients across Wise, Dickenson, and Buchanan counties require dialysis every 48 hours. Four rural dialysis clinics remain offline since the cyber attack — systems never fully recovered. With Day 18 approaching, patients have exhausted their buffer. Emergency options: patient transport to regional hospitals (VDOT coordinates corridors and vehicles), mobile dialysis unit deployment at community sites (Carilion activates mutual aid and staffs), and multi-agency triage of the most critical cases (EMA). RESPONSE COUNTS AS: Carilion activates hospital mutual aid or submits a mobile dialysis unit request; AND VDOT designates and opens at least one priority medical transport corridor; AND EMA formally coordinates multi-county patient logistics or declares mass casualty conditions.",Wise/Dickenson/Buchanan Counties,5,Carilion Health System Crisis Command;SW Virginia Mass Casualty Coordination;VDOT Medical Transport & Supply Routes,15,open,200
2,5,0:00,Coal Ash Pond Structural Failure Risk,"Environmental sensors restored after the cyber attack are transmitting alarming readings from the Clinch River coal ash pond in Wise County. Structural integrity monitors show active stress along the eastern berm. Rainfall forecast: 3 inches in 36 hours. A breach would contaminate the Clinch River water supply for 50,000 downstream residents. The 10-minute window for effective pre-storm stabilization closes fast: DEQ must decide between emergency stabilization (AEP provides infrastructure access, Governor authorizes emergency spend) or a precautionary downstream do-not-use water advisory. RESPONSE COUNTS AS: DEQ formally commits to stabilization or advisory (not 'still evaluating'); AND AEP provides infrastructure access and technical crew to the assessment or stabilization site; AND Governor authorizes emergency expenditure for the chosen response.",Wise County (Clinch River basin),5,VA DEQ Emergency Environmental Response;AEP Power Grid & Environmental Systems;Governor's Health Emergency Coordinator,10,open,200
3,5,0:00,Opioid Surge & MOUD Medication Crisis,"Overdose calls have spiked 40% since Day 14. Root cause: pharmacy supply disruptions from Phase 3 have finally hit MOUD clinics — buprenorphine and methadone stocks are critically low. 820 patients depend on daily medication. Three MOUD clinics have flagged they cannot guarantee next-day supply. One critical system bottleneck is DEA controlled-substance authorization — cross-team coordination is required: United Way/Faith/Supply Chain should formally request that Governor (Banff) and Carilion (Arches) pursue a federal dispensing waiver on their behalf, while simultaneously running community stabilization. United Way deploys health navigators to stabilize patients at highest risk of seeking street alternatives. The Faith Network runs peer support and harm reduction outreach. The Supply Chain coordinates emergency pharmaceutical routing once authorization is obtained. RESPONSE COUNTS AS: United Way deploys health navigators to highest-risk MOUD patients; AND Faith Network activates peer support and harm reduction outreach; AND Supply Chain establishes an emergency pharmaceutical routing plan or identifies at least one depot location.",Regional (coalfield and valley counties),4,United Way Health Navigation Services;Appalachian Faith Network Community Health;Regional Medical & Food Supply Chain,20,open,200
4,5,0:00,Respiratory Illness Cluster — Unknown Cause,"Carilion's Wise County clinic is reporting 47 acute respiratory cases in the Appalachia community over 72 hours. The community sits downwind of a coal processing facility that restarted Day 14 without environmental monitoring. Differential: particulate exposure, atypical pneumonia, or — given the cyber attack context — an unknown environmental release or biosecurity event. Virginia Tech leads epidemiological investigation and air quality sampling. CISA/Biosecurity assesses against national escalation criteria and coordinates potential CDC consultation. Sheriff's prepares enforcement posture if mine operations must be halted. RESPONSE COUNTS AS: VT launches field investigation with air quality sampling initiated; AND Biosecurity completes a formal written assessment against national escalation criteria; AND Sheriff's establishes a documented enforcement posture for a potential mine operations halt.",Appalachia (Wise County),4,Virginia Tech Environmental Health Research;Public Health Biosecurity Coordinator;SW Virginia Sheriff's Environmental Crime Unit,25,open,200
5,5,0:00,Rural Water Systems — Preliminary Contamination Results,"First lab results from water samples collected when manual operations resumed show arsenic (3x EPA limit) and lead (2x EPA limit) in systems serving Lee, Scott, and Buchanan counties — approximately 12,000 residents. For heavy metals, boiling is ineffective and can concentrate contaminants — the correct protective action is a do-not-drink-or-use advisory plus an alternate water supply plan. However, results are preliminary and could reflect sampling artifacts from weeks of manual operation. Montgomery County Public Health must choose: issue the do-not-use advisory now (WDBJ7 frames messaging to prevent panic) or wait 48 hours for confirmatory results (Shentel stands up a public hotline and alert system for rapid notification either way). RESPONSE COUNTS AS: Montgomery County formally issues the do-not-use advisory or submits an order for expedited confirmatory testing; AND WDBJ7 activates a coordinated health communications plan with correct do-not-use guidance (not boil-water); AND Shentel stands up a public hotline short code and mass notification system.",Lee/Scott/Buchanan Counties,4,Montgomery County Public Health Authority;WDBJ7 Health & Environmental Coverage;Shentel Emergency Health Communications,20,open,200
6,5,0:15,Dialysis Fatalities — Federal Inquiry Opened,"Three dialysis patients have died. Families are speaking to national media. A Senate Health Committee staffer has contacted the Governor's office requesting a formal briefing. Without an immediate credible response showing coordinated action, federal oversight will intensify and complicate emergency aid timelines. Carilion faces legal exposure. The Governor must now lead a public response and accelerate mutual aid activation. VDOT must open emergency transport corridors immediately. EMA must formally declare mass casualty conditions.",Wise County / Washington DC,5,Carilion Health System Crisis Command;SW Virginia Mass Casualty Coordination;VDOT Medical Transport & Supply Routes;Governor's Health Emergency Coordinator,30,hidden,150
7,5,0:10,Coal Ash Seepage Confirmed — Mandatory Do-Not-Use Advisory,"Structural assessment confirms active seepage along the eastern berm of the coal ash pond. DEQ is legally required to issue a mandatory do-not-drink-or-use advisory for all Clinch River downstream systems. Emergency alternate water supply distribution must begin within 4 hours. AEP must provide emergency power to water treatment backup systems. The Governor must authorize emergency expenditure for the distribution operation.",Wise County / Clinch River downstream,5,VA DEQ Emergency Environmental Response;AEP Power Grid & Environmental Systems;Governor's Health Emergency Coordinator;Regional Medical & Food Supply Chain,25,hidden,150
8,5,0:25,Respiratory Cluster — Mine Halted; Workers Walk Out,"CDC has been notified following biosecurity escalation. CDC guidance triggers a halt to coal processing operations pending investigation. The mine operator is contesting the halt and contacting legislators. 400 workers are walking out in protest. Without a credible evidence-based communication plan explaining the halt is investigatory — not punitive — political backlash will undo Phase 4 governance gains. The Governor must frame the decision; Virginia Tech must communicate preliminary findings publicly; Sheriff's must manage the protest situation at the mine gate.",Appalachia (Wise County) / Richmond,3,Virginia Tech Environmental Health Research;Public Health Biosecurity Coordinator;SW Virginia Sheriff's Environmental Crime Unit;Governor's Health Emergency Coordinator,45,hidden,100
9,5,0:20,MOUD Clinics Suspend — Patients in Withdrawal,"Three MOUD clinics have suspended operations after pharmaceutical supply failed. 240 patients are now without medication. Some are presenting at ERs in withdrawal. Emergency DEA authorization must be obtained immediately. Without emergency dispensing and community outreach, this will overwhelm emergency departments already at capacity and trigger a relapse surge with multigenerational consequences.",Regional (MOUD clinic service areas),4,United Way Health Navigation Services;Appalachian Faith Network Community Health;Regional Medical & Food Supply Chain;Carilion Health System Crisis Command,35,hidden,125
10,5,0:20,Water Panic — Social Media Surge & Alternate Water Stockpile Run,"A screenshot of the preliminary water test results has spread virally. Posts warning about 'poison water' are circulating and residents have been advised to boil water — which is incorrect for heavy metals and could create false confidence. Food City stores in Lee and Scott counties report empty shelves. Without a rapid official do-not-use advisory, visible alternate water distribution plan, and a public hotline to answer questions, panic will spread to adjacent counties.",Lee/Scott/Buchanan Counties,4,Montgomery County Public Health Authority;WDBJ7 Health & Environmental Coverage;Shentel Emergency Health Communications;Regional Medical & Food Supply Chain,35,hidden,125
