id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve,opens_after,opens_when
1,1,0:00,Research Cluster Compromise Confirmed,"A signed process on the Blacksburg research cluster has been re-running its own scheduled job since 06:20 and the endpoint agent has scored it clean four times. It is not signature-detectable: it profiles the host for days and then imitates what that host normally does. Nobody yet knows what it takes, what it talks to, or whether the cluster is still the only thing it is on. Every other decision this phase is sized off the answer, and the analysis costs fifteen minutes. [UPDATE 0:20] No response before the 0:20 deadline; escalated.",Blacksburg,4,Virginia Tech Division of IT;CISA Regional Coordinator;FBI Richmond Cyber Task Force,20,escalated,100,,
2,1,0:00,Carilion EHR Returning Records Against the Wrong Patients,"Since 08:05 the electronic health record has been serving records that do not match the patient they were requested for — not an outage, a correctness failure, which is worse. Clinicians are already working around it by asking patients what they are on. The record is also the path the malware crossed into the clinical network on, so leaving it up is leaving the door open and taking it down puts a hospital and six clinics on paper. [UPDATE 0:20] The six rural clinics report disconnection from the EHR and a request to InfoSec for a last-known-good cutoff; no standing downtime protocol or closed route is documented, and the compromised EHR rema [UPDATE 0:20] No response before the 0:20 deadline; escalated.",Roanoke / Region-wide,5,Carilion Clinic Information Security;Carilion Rural Clinic Network;FBI Richmond Cyber Task Force;Governor's SW Virginia Liaison,20,escalated,150,,
3,1,0:00,Six Rural Clinics Open With No Records Link,"Grundy, Tazewell, Wise, Lebanon, Marion and Big Stone Gap lost the records link at 07:52 and opened at 08:00 anyway, because the patients were already in the parking lot. Between them they are carrying the morning's dialysis scheduling, three medication-assisted treatment programmes and a prenatal clinic, all from memory and paper. Nobody has decided whether they close, and closing them means the nearest alternative is ninety minutes away. [UPDATE 0:25] No response before the 0:25 deadline; escalated.",Coalfield counties,4,Carilion Rural Clinic Network;Shentel Communications;VA Department of Health SW District;Food City Pharmacy Systems,25,escalated,125,,
4,1,0:05,Networked Medical Devices Logging Changes Nobody Made,"Infusion pumps, two imaging units and the monitoring gear on the clinical VLAN are recording configuration changes with no operator behind them. Nothing has visibly misdosed and nobody can prove nothing has. Pulling them off the network means a clinician at every device, one at a time, while the ward keeps running; leaving them on means trusting a device on a network known to be compromised. [UPDATE 0:36] No response before the 0:30 deadline; escalated.",Roanoke,4,VA Department of Health SW District;Carilion Clinic Information Security,25,escalated,125,,
5,1,0:05,Prescription Verification Down Chain-Wide,"Every Food City pharmacy counter in the region is unable to verify a prescription against the clinic that wrote it. The queue is not moving, and it contains insulin, anticoagulants and a methadone programme's morning. There is no system answer available today: what may be dispensed without verification, and on whose signature, is a policy somebody has to write in the next half hour. [UPDATE 0:37] No response before the 0:35 deadline; escalated.",Region-wide,3,Food City Pharmacy Systems;Carilion Rural Clinic Network;Appalachian Faith & Community Network,30,escalated,75,,
6,1,0:05,Scanning From Regional Addresses Against State Shared Services,"VITA's monitoring shows steady, patient scanning of the Commonwealth's shared services from addresses inside the affected region. Nothing has been breached at the state level. Nine county governments — permits, benefits, dispatch records — run on those same services, so the containment that protects Richmond is the containment that takes a county offline, and the counties have not been asked. [UPDATE 0:36] No response before the 0:30 deadline; escalated.",Richmond / Region-wide,3,VITA Commonwealth CIO;CISA Regional Coordinator;Shentel Communications;Virginia Tech Division of IT;SW Virginia EMA,25,escalated,75,,
7,1,0:10,Dependent-Care Patients Unreachable,"The patients whose care cannot wait a day — dialysis, home oxygen, refrigerated medication, the MAT programmes — are scheduled in a system that is down, and the list of who they are is in the same system. The faith network and the health district between them hold the only current picture: church rolls, volunteer fire department call lists, and the households everyone knows about because somebody drives out there.",Coalfield counties,4,Appalachian Faith & Community Network;VA Department of Health SW District;Shentel Communications;SW Virginia EMA;Food City Pharmacy Systems,30,open,125,,
8,1,0:10,County Government Continuity At Risk,"Nine counties are one containment decision away from losing permits, benefits processing and dispatch records at the same time. The continuity environment exists and has never been exercised under load. EMA has to decide whether to fail over before it is needed — spending money on a move that may prove unnecessary — or wait for VITA's cut and fail over under it.",Coalfield counties,3,VITA Commonwealth CIO;SW Virginia EMA;Governor's SW Virginia Liaison,30,open,75,,
9,1,0:15,Evidence and Recovery Want the Same Machines,"The hosts that have to be imaged for a federal case are the hosts a hospital wants rebuilt this morning. Imaging with chain of custody intact takes them down for hours; rebuilding first means whatever is on them about who did this and what they took is gone. Nobody has ruled on the order, and both sides are proceeding as though they have. [UPDATE 0:36] A backup of the hospital data on the contested hosts is reported, but the hosts are still not imaged with chain of custody and nobody has ruled on the evidence-vs-rebuild order; the federal case and t",Blacksburg / Roanoke,3,CISA Regional Coordinator;FBI Richmond Cyber Task Force;Carilion Clinic Information Security;Virginia Tech Division of IT,25,in_progress,100,,
10,1,0:15,Richmond Wants One Answer Before 10:00,"The Governor's office has an availability at 10:00 and wants two things: whether patient data is gone, and whether it is safe to go to a clinic today. The Liaison holds no sensors and no incident — every word of that answer has to come from a team that verified something, and the honest answer to the first question at this hour is 'not yet known'. What is said here is what phase 2's disinformation is built out of.",Richmond / Region-wide,3,Governor's SW Virginia Liaison;CISA Regional Coordinator;Appalachian Faith & Community Network;VITA Commonwealth CIO,35,open,100,,
11,1,0:20,The Exfiltration Path Is the Shared Research Link,"The analysis answered the first question: the process stages what it reads — EHR result feeds, prescription checks, the research corpus — on the cluster it lives on, and sends it out in small bursts that look like research traffic. The analysis did not remove it, and the shared research–clinical link is both the crossing it used and the only path the copies leave on. Cut the link and the bleed stops but the attribution trace goes with it; keep it up under observation and the evidence stays live at the cost of more copies leaving. Nobody has ruled on which of those the region is actually doing.",Blacksburg / Region-wide,4,Shentel Communications;Virginia Tech Division of IT;Carilion Clinic Information Security,20,hidden,100,1,resolved
12,1,0:20,Compromise Reaches the Research Data Center,"Twenty minutes passed with the cluster compromise uncharacterised. The same signed process now appears on the research data center's compute nodes, and faculty jobs are running with checkpoints the malware imitates. A cold shutdown stops the exposure and freezes machines forensics can use; letting it run keeps the jobs alive and gives the investigators live capture, while a week-old implant keeps a week-old reach. The researchers whose work is on those nodes were not told either way.",Blacksburg,4,FBI Richmond Cyber Task Force;Virginia Tech Division of IT;CISA Regional Coordinator,20,open,100,1,escalated
