action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A1,Intelligence Sharing,ALL,$0,0,NONE,+1,"Share verified situation updates, emerging risks, and resource status with other teams. Helps coordination and reduces duplicated efforts."
A2,Unified Message Framework,Governor's SW Virginia Liaison;SW Virginia EMA;WDBJ7 News,$80K,5,NONE,+1,"Stand up a Joint Information Center-lite: one shared set of facts, talking points, and update cadence to reduce contradictory messaging and rumor fuel."
A3,Regional Governance Compact,Governor's SW Virginia Liaison;Montgomery County Government;SW Virginia EMA,$0,10,NONE,+1,"Create a temporary decision framework that clarifies who can approve road closures, curfews, distribution site rules, and emergency spending. Reduces public conflict between state and local officials."
A4,Activate Mediation & Reconciliation Team,Governor's SW Virginia Liaison;United Way SW Virginia;Appalachian Faith & Community Network,$150K,10,NONE,+2,"Deploy trusted mediators to coalfield and valley communities to de-escalate anger, listen, and negotiate concrete commitments (distribution fairness, timelines, accountability)."
A5,Emergency Curfew Order,Governor's SW Virginia Liaison,$0,5,NONE,+1/-2,"Issue a limited-area, time-bounded curfew in response to violence risk. Can prevent escalation but may inflame civil-liberties backlash if perceived as heavy-handed."
A6,Countywide Town Halls & Listening Sessions,Montgomery County Government;United Way SW Virginia;Appalachian Faith & Community Network,$50K,5,NONE,+2,"Host moderated public forums with clear ground rules and Q&A to reduce rumor-driven anger and collect needs and grievances for response planning."
A7,Distribution Site Safety Ordinance,Montgomery County Government;SW Virginia Sheriff's Coalition;VDOT SW Region,$0,5,NONE,+1,"Adopt emergency rules for safe distribution sites (traffic flow, crowd limits, signage, volunteer credentials). Reduces friction and clarifies expectations for enforcement."
A8,De-escalation & Liaison Teams,SW Virginia Sheriff's Coalition;Appalachian Faith & Community Network,$100K,0,NONE,+1,"Assign trained liaisons and de-escalation teams to protests and hot spots. Prioritizes communication over force and reduces risk of viral escalation footage."
A9,Negotiate Protest Route & Safety Plan,SW Virginia Sheriff's Coalition;VDOT SW Region;Montgomery County Government,$50K,5,NONE,+1,"Work with protest organizers to set a route, time window, and safety plan that preserves First Amendment activity while keeping critical corridors open."
A10,Targeted Enforcement Against Violence Instigators,SW Virginia Sheriff's Coalition,$0,10,NONE,+1/-1,"Focus enforcement on clearly identified violence instigators and weapons violations (not broad crowd tactics). Can restore safety but risks claims of political targeting."
